,bathrooms,building_subtype,building_type,conservation_state,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,rooms,sqft_m2,neighbourhood,neighb_meanprice,diff_mitjana
0,1,Study,Flat,3.0,0,True,False,41.37723,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/158233720/d,2.16038,320.0,FINCAS MATAS MORERA.,0,15,sant antoni,13.848563622132444,54.04726378437479
2,1,Flat,Flat,2.0,0,False,False,41.43157,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado-internet/158235431/d,2.169108,400.0,FINDER CASA,2,63,el turó de la peira,11.699314863704796,-45.73010109417843
3,1,Study,Flat,2.0,0,True,False,41.37141,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/158144291/d,2.144235,430.0,FINQUES TEBE,0,17,hostafrancs,13.832742542799206,82.85685263639905
4,2,Flat,Flat,3.0,0,True,False,41.36364,/es/alquiler/vivienda/barcelona-capital/ascensor/158035554/d,2.139371,450.0,FINCAS PEREZ,1,29,la marina de port,10.826746822359492,43.32321272410289
5,1,Apartment,Flat,3.0,0,False,False,41.38046,/es/alquiler/vivienda/barcelona-capital/sant-antoni/158046710/d,2.16054,450.0,FINQUES APARICI,0,25,sant antoni,13.848563622132444,29.977378818066214
6,1,Flat,Flat,2.0,45,False,False,41.41797,/es/alquiler/vivienda/barcelona-capital/el-coll/157255808/d,2.14932,450.0,NACIONAL HOGAR,0,30,el coll,12.715733915523172,17.964091570744745
7,1,Study,Flat,1.0,0,False,False,41.38998,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/158152449/d,2.180606,450.0,SOMOSCASA,0,15,"sant pere, santa caterina i la ribera",15.157329044420129,97.9240531895948
8,1,Flat,Flat,-1.0,50,False,False,41.42211,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-no-amueblado/157691372/d,2.145857,450.0,GAUDI HOUSE FINCAS,1,36,la teixonera,12.603704324375947,-0.8228082927602354
9,1,Flat,Flat,-1.0,25,False,False,41.41263,/es/alquiler/vivienda/barcelona-capital/el-camp-de-l'arpa-del-clot/157978515/d,2.18097,475.0,ALUGARNE,1,30,el camp de l'arpa del clot,13.541243796410015,16.92672823401189
10,0,Flat,Flat,-1.0,0,False,False,41.40443,/es/alquiler/vivienda/barcelona-capital/amueblado/157938876/d,2.139878,475.0,"FINCAS CALVET, S.L.",0,29,sant gervasi - la bonanova,16.038572036859406,2.124492798891975
11,1,Flat,Flat,-1.0,25,False,False,41.38297,"/es/alquiler/vivienda/barcelona-capital/sant-pere,-sta--caterina-i-la-ribera/158032000/d",2.180952,475.0,Forcadell Res.Lloguers,1,26,"sant pere, santa caterina i la ribera",15.157329044420129,20.53067341674044
12,1,Study,Flat,3.0,0,False,False,41.41315,/es/alquiler/vivienda/barcelona-capital/no-amueblado/158153736/d,2.1893130000000003,476.0,FINQUES TEBE,0,22,navas,12.426713511487884,74.11171196923374
13,1,Flat,Flat,3.0,0,True,False,41.40543,/es/alquiler/vivienda/barcelona-capital/ascensor/157944255/d,2.171074,490.0,FINCAS DUEÑAS,0,36,la sagrada família,14.476486837923611,-5.977802048943959
14,1,Study,Flat,3.0,0,False,False,41.38904,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado/158140878/d,2.174392,490.0,GILABERT PONT SERVEISIMMOBILIARIS,1,28,la dreta de l'eixample,14.399608832391861,21.531079098717054
15,1,Loft,Flat,-1.0,0,False,False,41.45524,/es/alquiler/vivienda/barcelona-capital/terraza-patio-amueblado-internet/158217036/d,2.17466,490.0,Jose Miguel,1,27,torre baró,7.4635223924097875,143.1579513528941
16,1,Attic,Flat,-1.0,35,False,False,41.42555,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza/157782627/d,2.153506,490.0,FINQUES LAPLANA,1,30,el carmel,12.091516130739544,35.08093738394036
